DB 0 MOTIF	FILTER_LEN10_0
 -68.0	3
 -67.0	7
 -66.0	7
 -65.0	8
 -64.0	8
 -63.0	1
 -62.0	3
 -61.0	3
 -60.0	4
 -59.0	6
 -58.0	5.5
 -57.0	7
 -56.0	4
 -55.0	5
 -54.0	4
 -53.0	8
 -52.0	10
 -51.0	7
 -50.0	2
 -49.0	8
 -48.0	2
 -47.0	0
 -46.0	6
 -45.0	4
 -44.0	4
 -43.0	1
 -42.0	6
 -41.0	5
 -40.0	4
 -39.0	1
 -38.0	7
 -37.0	6
 -36.0	3
 -35.0	3
 -34.0	6
 -33.0	7.5
 -32.0	5
 -31.0	5
 -30.0	5
 -29.0	6
 -28.0	1
 -27.0	4
 -26.0	4
 -25.0	7
 -24.0	4
 -23.0	2
 -22.0	2
 -21.0	10
 -20.0	4
 -19.0	5
 -18.0	2
 -17.0	3
 -16.0	5
 -15.0	4.5
 -14.0	2
 -13.0	8
 -12.0	4
 -11.0	7
 -10.0	4
  -9.0	1
  -8.0	1
  -7.0	1
  -6.0	1
  -5.0	1
  -4.0	0
  -3.0	3
  -2.0	1
  -1.0	2
   0.0	1
   1.0	1
   2.0	1
   3.0	0
   4.0	0
   5.0	0
   6.0	0
   7.0	2
   8.0	1
   9.0	0
  10.0	1
  11.0	1
  12.0	1
  13.0	0
  14.0	1
  15.0	1
  16.0	0
  17.0	1
  18.0	1
  19.0	1
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	1
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	1
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_399
 -85.0	3
 -84.0	4
 -83.0	0
 -82.0	3
 -81.0	2
 -80.0	9
 -79.0	1
 -78.0	0
 -77.0	3
 -76.0	3
 -75.0	3
 -74.0	7
 -73.0	2
 -72.0	2
 -71.0	1
 -70.0	1
 -69.0	4
 -68.0	3
 -67.0	2
 -66.0	4
 -65.0	2
 -64.0	1
 -63.0	7
 -62.0	4
 -61.0	4
 -60.0	2
 -59.0	7
 -58.0	7
 -57.0	4
 -56.0	3
 -55.0	2
 -54.0	4
 -53.0	6
 -52.0	3
 -51.0	3
 -50.0	2
 -49.0	3
 -48.0	2
 -47.0	0.5
 -46.0	1
 -45.0	4
 -44.0	1
 -43.0	5
 -42.0	6
 -41.0	4
 -40.0	4
 -39.0	6
 -38.0	3
 -37.0	4.5
 -36.0	6
 -35.0	6
 -34.0	2
 -33.0	2
 -32.0	4
 -31.0	0
 -30.0	2
 -29.0	1
 -28.0	2
 -27.0	3
 -26.0	1
 -25.0	3
 -24.0	0
 -23.0	5
 -22.0	5
 -21.0	3
 -20.0	2
 -19.0	1
 -18.0	3
 -17.0	3
 -16.0	4
 -15.0	3
 -14.0	1
 -13.0	5
 -12.0	0
 -11.0	2
 -10.0	0
  -9.0	1
  -8.0	3
  -7.0	2
  -6.0	2
  -5.0	0
  -4.0	0
  -3.0	0
  -2.0	1
  -1.0	0
   0.0	2
   1.0	0
   2.0	1
   3.0	0
   4.0	1
   5.0	0
   6.0	1
   7.0	1
   8.0	0
   9.0	0
  10.0	0
  11.0	0
  12.0	0
  13.0	0
  14.0	2
  15.0	1
  16.0	0
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_400
 -85.0	3
 -84.0	5
 -83.0	5
 -82.0	5
 -81.0	8
 -80.0	8
 -79.0	4
 -78.0	4
 -77.0	6
 -76.0	4
 -75.0	1
 -74.0	6
 -73.0	5
 -72.0	7
 -71.0	8.5
 -70.0	5
 -69.0	5
 -68.0	2
 -67.0	8
 -66.0	2
 -65.0	7
 -64.0	6
 -63.0	5
 -62.0	4
 -61.0	6
 -60.0	9
 -59.0	1
 -58.0	5
 -57.0	5
 -56.0	6
 -55.0	3
 -54.0	5
 -53.0	3
 -52.0	11
 -51.0	5
 -50.0	4
 -49.0	9
 -48.0	4
 -47.0	5
 -46.0	4
 -45.0	7
 -44.0	6
 -43.0	6
 -42.0	9
 -41.0	5
 -40.0	5
 -39.0	4
 -38.0	7
 -37.0	8
 -36.0	5
 -35.0	6
 -34.0	3
 -33.0	7
 -32.0	8
 -31.0	4
 -30.0	4
 -29.0	7
 -28.0	8
 -27.0	7
 -26.0	3
 -25.0	4
 -24.0	4
 -23.0	5
 -22.0	4
 -21.0	5
 -20.0	4
 -19.0	4
 -18.0	1
 -17.0	7
 -16.0	6
 -15.0	2
 -14.0	6
 -13.0	5
 -12.0	1
 -11.0	1
 -10.0	3
  -9.0	2
  -8.0	0
  -7.0	1
  -6.0	0.5
  -5.0	2
  -4.0	1
  -3.0	3
  -2.0	0
  -1.0	5
   0.0	2
   1.0	1
   2.0	1
   3.0	0
   4.0	0
   5.0	1
   6.0	1
   7.0	0
   8.0	1
   9.0	0
  10.0	2
  11.0	0
  12.0	0
  13.0	1
  14.0	1
  15.0	1
  16.0	1
  17.0	1
  18.0	0
  19.0	0
  20.0	0
  21.0	1
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	4
  38.0	0
  39.0	0
  40.0	1
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	1
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_401
 -85.0	9
 -84.0	4
 -83.0	8
 -82.0	11
 -81.0	3
 -80.0	7
 -79.0	5
 -78.0	1
 -77.0	9
 -76.0	7
 -75.0	5
 -74.0	9
 -73.0	2
 -72.0	5
 -71.0	10
 -70.0	6
 -69.0	7
 -68.0	6
 -67.0	10
 -66.0	3
 -65.0	9
 -64.0	9
 -63.0	10.5
 -62.0	11
 -61.0	6
 -60.0	5
 -59.0	5
 -58.0	6
 -57.0	7
 -56.0	9
 -55.0	8
 -54.0	10
 -53.0	2
 -52.0	8
 -51.0	4
 -50.0	8
 -49.0	8
 -48.0	10
 -47.0	8
 -46.0	6
 -45.0	6
 -44.0	3
 -43.0	12.5
 -42.0	10
 -41.0	10
 -40.0	1
 -39.0	12
 -38.0	6.5
 -37.0	9
 -36.0	5
 -35.0	10
 -34.0	8.5
 -33.0	7
 -32.0	7
 -31.0	9
 -30.0	6
 -29.0	3
 -28.0	7
 -27.0	4
 -26.0	2
 -25.0	8
 -24.0	7
 -23.0	7
 -22.0	5
 -21.0	4
 -20.0	4
 -19.0	6
 -18.0	3
 -17.0	7
 -16.0	5
 -15.0	3
 -14.0	4
 -13.0	6
 -12.0	4
 -11.0	1
 -10.0	2
  -9.0	4
  -8.0	2
  -7.0	1
  -6.0	3
  -5.0	3
  -4.0	1
  -3.0	0
  -2.0	1
  -1.0	2
   0.0	2
   1.0	1
   2.0	0
   3.0	4
   4.0	0
   5.0	0
   6.0	2
   7.0	0
   8.0	1
   9.0	0
  10.0	1
  11.0	1
  12.0	0
  13.0	0
  14.0	1
  15.0	1
  16.0	1
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	1
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	2
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_402
 -85.0	4
 -84.0	13
 -83.0	8
 -82.0	4
 -81.0	6
 -80.0	2
 -79.0	9
 -78.0	4
 -77.0	8
 -76.0	8
 -75.0	6
 -74.0	9
 -73.0	9
 -72.0	7
 -71.0	9
 -70.0	8
 -69.0	4
 -68.0	6
 -67.0	11
 -66.0	6
 -65.0	9
 -64.0	8
 -63.0	9
 -62.0	6
 -61.0	7
 -60.0	9
 -59.0	5
 -58.0	5
 -57.0	9
 -56.0	5
 -55.0	3
 -54.0	5
 -53.0	3
 -52.0	12
 -51.0	7
 -50.0	7.5
 -49.0	6
 -48.0	9
 -47.0	8
 -46.0	5
 -45.0	11
 -44.0	6
 -43.0	14
 -42.0	8
 -41.0	8
 -40.0	10.5
 -39.0	7
 -38.0	6
 -37.0	11
 -36.0	13
 -35.0	7
 -34.0	12
 -33.0	9
 -32.0	12
 -31.0	6
 -30.0	6
 -29.0	6
 -28.0	4
 -27.0	10
 -26.0	6
 -25.0	10
 -24.0	7
 -23.0	7
 -22.0	6
 -21.0	8
 -20.0	5
 -19.0	9
 -18.0	3
 -17.0	6
 -16.0	4
 -15.0	2
 -14.0	3
 -13.0	3
 -12.0	9
 -11.0	5
 -10.0	7
  -9.0	1
  -8.0	0
  -7.0	3
  -6.0	4
  -5.0	1
  -4.0	3
  -3.0	2
  -2.0	2
  -1.0	0
   0.0	5
   1.0	3
   2.0	0
   3.0	0
   4.0	1
   5.0	0
   6.0	0
   7.0	0
   8.0	1
   9.0	0
  10.0	2
  11.0	4
  12.0	1
  13.0	0
  14.0	1
  15.0	0
  16.0	0
  17.0	0
  18.0	1
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	1
  39.0	1
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_403
 -85.0	6
 -84.0	9
 -83.0	5
 -82.0	3
 -81.0	8
 -80.0	6
 -79.0	11
 -78.0	11
 -77.0	5
 -76.0	2
 -75.0	6
 -74.0	5
 -73.0	6
 -72.0	6
 -71.0	9
 -70.0	8
 -69.0	8
 -68.0	9
 -67.0	4.5
 -66.0	12
 -65.0	5
 -64.0	3
 -63.0	9
 -62.0	4
 -61.0	8
 -60.0	3
 -59.0	3
 -58.0	6
 -57.0	4
 -56.0	4
 -55.0	5
 -54.0	8
 -53.0	8
 -52.0	0
 -51.0	3
 -50.0	3
 -49.0	4
 -48.0	3
 -47.0	6
 -46.0	7
 -45.0	6
 -44.0	6
 -43.0	5
 -42.0	3.5
 -41.0	4
 -40.0	1
 -39.0	7
 -38.0	3
 -37.0	6
 -36.0	3
 -35.0	2
 -34.0	6
 -33.0	4
 -32.0	4
 -31.0	5
 -30.0	6
 -29.0	8
 -28.0	6
 -27.0	8
 -26.0	3
 -25.0	7
 -24.0	5
 -23.0	5
 -22.0	3
 -21.0	3
 -20.0	3
 -19.0	4
 -18.0	4
 -17.0	4
 -16.0	2
 -15.0	1
 -14.0	0
 -13.0	1
 -12.0	8
 -11.0	6
 -10.0	1
  -9.0	3
  -8.0	0
  -7.0	2
  -6.0	0
  -5.0	0
  -4.0	0
  -3.0	0
  -2.0	0
  -1.0	1
   0.0	1
   1.0	0
   2.0	0
   3.0	1
   4.0	0
   5.0	1
   6.0	0
   7.0	1
   8.0	0
   9.0	0
  10.0	1
  11.0	0
  12.0	0
  13.0	0
  14.0	0
  15.0	0
  16.0	2
  17.0	0
  18.0	1
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_404
 -85.0	8
 -84.0	3
 -83.0	5
 -82.0	6
 -81.0	7
 -80.0	4
 -79.0	9
 -78.0	3
 -77.0	13
 -76.0	4
 -75.0	5
 -74.0	2
 -73.0	4
 -72.0	1
 -71.0	3
 -70.0	5
 -69.0	12
 -68.0	6
 -67.0	4
 -66.0	6
 -65.0	4
 -64.0	6
 -63.0	2
 -62.0	8
 -61.0	3
 -60.0	6
 -59.0	4
 -58.0	6
 -57.0	5
 -56.0	8
 -55.0	3
 -54.0	1
 -53.0	10
 -52.0	12
 -51.0	4
 -50.0	8
 -49.0	8
 -48.0	6
 -47.0	6
 -46.0	9
 -45.0	9
 -44.0	6
 -43.0	7
 -42.0	10
 -41.0	4
 -40.0	14
 -39.0	9
 -38.0	6
 -37.0	13
 -36.0	7
 -35.0	2
 -34.0	6
 -33.0	6
 -32.0	6
 -31.0	3
 -30.0	5
 -29.0	6
 -28.0	5
 -27.0	4
 -26.0	2
 -25.0	6
 -24.0	7
 -23.0	1
 -22.0	5
 -21.0	4
 -20.0	2
 -19.0	5
 -18.0	5
 -17.0	5
 -16.0	3
 -15.0	4
 -14.0	2
 -13.0	3
 -12.0	1
 -11.0	3
 -10.0	3
  -9.0	2
  -8.0	2
  -7.0	0
  -6.0	0
  -5.0	2
  -4.0	1
  -3.0	1
  -2.0	4
  -1.0	0
   0.0	0
   1.0	1
   2.0	2
   3.0	1
   4.0	0
   5.0	1
   6.0	0
   7.0	0
   8.0	1
   9.0	1
  10.0	1
  11.0	0
  12.0	0
  13.0	0
  14.0	1
  15.0	0
  16.0	0
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	1
  22.0	0
  23.0	1
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	1
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_405
 -85.0	2
 -84.0	5
 -83.0	2
 -82.0	4
 -81.0	3
 -80.0	8
 -79.0	5
 -78.0	6
 -77.0	10
 -76.0	9
 -75.0	10
 -74.0	2
 -73.0	10
 -72.0	7
 -71.0	4
 -70.0	5
 -69.0	10
 -68.0	6
 -67.0	5
 -66.0	8
 -65.0	3
 -64.0	5
 -63.0	4
 -62.0	3
 -61.0	7
 -60.0	9
 -59.0	3
 -58.0	6
 -57.0	5
 -56.0	3
 -55.0	6.5
 -54.0	4
 -53.0	7
 -52.0	6
 -51.0	9
 -50.0	8
 -49.0	8
 -48.0	7
 -47.0	5
 -46.0	9
 -45.0	9
 -44.0	12
 -43.0	7
 -42.0	8
 -41.0	10
 -40.0	14
 -39.0	13
 -38.0	11
 -37.0	5
 -36.0	7
 -35.0	5
 -34.0	7
 -33.0	6
 -32.0	19
 -31.0	13
 -30.0	6
 -29.0	7
 -28.0	4
 -27.0	11
 -26.0	6
 -25.0	8
 -24.0	7
 -23.0	4
 -22.0	5
 -21.0	5.5
 -20.0	4
 -19.0	3
 -18.0	14
 -17.0	0
 -16.0	9
 -15.0	3
 -14.0	3
 -13.0	2
 -12.0	0
 -11.0	1
 -10.0	3
  -9.0	2
  -8.0	4
  -7.0	3
  -6.0	1
  -5.0	3
  -4.0	0
  -3.0	6
  -2.0	1
  -1.0	2
   0.0	1
   1.0	0
   2.0	1
   3.0	2
   4.0	0
   5.0	2
   6.0	0
   7.0	2
   8.0	0
   9.0	1
  10.0	0
  11.0	0
  12.0	1
  13.0	3
  14.0	2
  15.0	0
  16.0	0
  17.0	0
  18.0	0
  19.0	1
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	1
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_406
 -85.0	6
 -84.0	6
 -83.0	2
 -82.0	5
 -81.0	6
 -80.0	5
 -79.0	3
 -78.0	7
 -77.0	10
 -76.0	7
 -75.0	6
 -74.0	2
 -73.0	5
 -72.0	5
 -71.0	8
 -70.0	8
 -69.0	12
 -68.0	11
 -67.0	21
 -66.0	13
 -65.0	6
 -64.0	5
 -63.0	6
 -62.0	6.5
 -61.0	6
 -60.0	4
 -59.0	3
 -58.0	2
 -57.0	3
 -56.0	3
 -55.0	2
 -54.0	7
 -53.0	3
 -52.0	9
 -51.0	4
 -50.0	10
 -49.0	3
 -48.0	5
 -47.0	8
 -46.0	4
 -45.0	6
 -44.0	6
 -43.0	6
 -42.0	7
 -41.0	8
 -40.0	6
 -39.0	6
 -38.0	3
 -37.0	8
 -36.0	4
 -35.0	4
 -34.0	3
 -33.0	7
 -32.0	9
 -31.0	6
 -30.0	2
 -29.0	7
 -28.0	3
 -27.0	2
 -26.0	7
 -25.0	5
 -24.0	3
 -23.0	4.5
 -22.0	3
 -21.0	5
 -20.0	5
 -19.0	1
 -18.0	2
 -17.0	2
 -16.0	1
 -15.0	4
 -14.0	2
 -13.0	1
 -12.0	0
 -11.0	2
 -10.0	3
  -9.0	3
  -8.0	0
  -7.0	2
  -6.0	3
  -5.0	0
  -4.0	0
  -3.0	0
  -2.0	2
  -1.0	4
   0.0	3
   1.0	0
   2.0	0
   3.0	0
   4.0	0
   5.0	1
   6.0	1
   7.0	0
   8.0	0
   9.0	0
  10.0	0
  11.0	0
  12.0	1
  13.0	0
  14.0	1
  15.0	0
  16.0	0
  17.0	1
  18.0	0
  19.0	0
  20.0	0
  21.0	1
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	1
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_407
 -85.0	6.83333
 -84.0	6.33333
 -83.0	11
 -82.0	9.66667
 -81.0	10
 -80.0	4
 -79.0	12
 -78.0	9
 -77.0	5
 -76.0	9
 -75.0	10
 -74.0	4.5
 -73.0	6
 -72.0	6
 -71.0	5
 -70.0	5
 -69.0	6
 -68.0	9
 -67.0	6
 -66.0	5
 -65.0	6
 -64.0	12
 -63.0	5
 -62.0	3.5
 -61.0	4.33333
 -60.0	3.33333
 -59.0	4
 -58.0	5.66667
 -57.0	5
 -56.0	10
 -55.0	6
 -54.0	8
 -53.0	2
 -52.0	5
 -51.0	2
 -50.0	5
 -49.0	4
 -48.0	2
 -47.0	4
 -46.0	1.2
 -45.0	4
 -44.0	8
 -43.0	6
 -42.0	2
 -41.0	5
 -40.0	2
 -39.0	6
 -38.0	6
 -37.0	4.83333
 -36.0	2.33333
 -35.0	4
 -34.0	4.66667
 -33.0	7
 -32.0	3
 -31.0	1
 -30.0	2
 -29.0	5
 -28.0	4
 -27.0	3
 -26.0	5
 -25.0	4
 -24.0	3
 -23.0	5
 -22.0	3.2
 -21.0	0
 -20.0	3
 -19.0	0
 -18.0	3
 -17.0	3
 -16.0	3
 -15.0	1
 -14.0	3
 -13.0	0
 -12.0	1
 -11.0	1
 -10.0	1
  -9.0	4
  -8.0	1
  -7.0	5
  -6.0	2
  -5.0	0
  -4.0	0
  -3.0	0
  -2.0	2
  -1.0	1
   0.0	1
   1.0	2
   2.0	2.2
   3.0	3
   4.0	0
   5.0	0
   6.0	0
   7.0	0
   8.0	1
   9.0	0
  10.0	0
  11.0	1
  12.0	0
  13.0	0
  14.0	0
  15.0	1
  16.0	0
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0.2
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	1
  48.0	0
  49.0	0
  50.0	0.2
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_408
 -85.0	6
 -84.0	5
 -83.0	5
 -82.0	2
 -81.0	7
 -80.0	10
 -79.0	11
 -78.0	23
 -77.0	13
 -76.0	8
 -75.0	4
 -74.0	6
 -73.0	3
 -72.0	11
 -71.0	5
 -70.0	7
 -69.0	2
 -68.0	6
 -67.0	11
 -66.0	7
 -65.0	5
 -64.0	5
 -63.0	5
 -62.0	10
 -61.0	5
 -60.0	1
 -59.0	3
 -58.0	8
 -57.0	5.5
 -56.0	6
 -55.0	5
 -54.0	8
 -53.0	2
 -52.0	7
 -51.0	10
 -50.0	4
 -49.0	5
 -48.0	4
 -47.0	4
 -46.0	3
 -45.0	2
 -44.0	4
 -43.0	5
 -42.0	9
 -41.0	4
 -40.0	4
 -39.0	5.5
 -38.0	1
 -37.0	5
 -36.0	6
 -35.0	9
 -34.0	5
 -33.0	7
 -32.0	9
 -31.0	3
 -30.0	5
 -29.0	10
 -28.0	9
 -27.0	2
 -26.0	2
 -25.0	4
 -24.0	3
 -23.0	2
 -22.0	5.5
 -21.0	7
 -20.0	5
 -19.0	6
 -18.0	3
 -17.0	3
 -16.0	1
 -15.0	2
 -14.0	3
 -13.0	1
 -12.0	5.5
 -11.0	1
 -10.0	3
  -9.0	2
  -8.0	1
  -7.0	1
  -6.0	0
  -5.0	1
  -4.0	2
  -3.0	1
  -2.0	0
  -1.0	1
   0.0	1
   1.0	2
   2.0	0
   3.0	0
   4.0	2
   5.0	2
   6.0	0
   7.0	0
   8.0	0
   9.0	0
  10.0	0
  11.0	2
  12.0	1
  13.0	0
  14.0	2
  15.0	0
  16.0	0
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	0
  27.0	0
  28.0	0
  29.0	1
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
